Date,Crew,Plot,Transect,azimuth,T-lengthObs(m),T-lengthTot(m),PieceNo,Species,diam(cm),T-dist(m),Tilt,DecayClass,Accum/Odd-length(cm),Accum/Odd-length(cm),Notes
20-Aug-20,"BK, KC",P-03,1,21,30,30,1,Unk,19,,,4,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,2,Bl,24.1,,,3,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,3,Unk,25.3,,0,3,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,4,Sx,30,,,1,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,5,Unk,10.9,,,4,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,6,Unk,9.1,,,4,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,7,Unk,18.6,,,4,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,8,Unk,24.7,,,5,,,
20-Aug-20,"BK, KC",P-03,1,21,30,30,9,Sx,16.8,,3,1,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,1,Unk,30.5,,0,4,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,2,Unk,30.8,,,4,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,3,Unk,10,,22,4,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,4,Unk,14.3,,,3,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,5,Sx,27.3,,1,2,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,6,Unk,10.3,,0,4,,,
20-Aug-20,"BK, KC",P-03,2,111,30,30,7,Unk,-,,,5,22.9,9.5,
20-Aug-20,"BK, KC",P-03,2,111,30,30,8,Unk,-,,,5,120,32.5,
20-Aug-20,"BK, KC",P-04,1,157,30,30,1,Unk,12.2,,,3,,,
20-Aug-20,"BK, KC",P-04,1,157,30,30,2,Unk,34.5,,,4,,,
20-Aug-20,"BK, KC",P-04,1,157,30,30,3,Unk,29,,,5,,,
20-Aug-20,"BK, KC",P-04,1,157,30,30,4,Unk,10.2,,,4,,,
20-Aug-20,"BK, KC",P-04,1,157,30,30,5,Unk,12.3,,,3,,,
20-Aug-20,"BK, KC",P-04,1,157,30,30,6,Bl,14.3,,,3,,,
20-Aug-20,"BK, KC",P-04,1,157,30,30,7,Unk,8,,,5,,,
20-Aug-20,"BK, KC",P-04,2,247,30,30,1,Bl,17.3,,,3,,,
