Plot,Quadrat,TreeNum,spp,PIGTAIL_2021,TAG_found_2021,LIVE_Dead_2021,COMMENTS_2021,Height1997_cm,LCL_length1997_cm,LdrGrowth1997_cm,CrownWidthNS1997_cm,CrownWidthEW1997_cm,BasalCaL1997mm,Vigor1995,Vigour1997,1995Comments,comment_1997
3,1,186,Sw,Y,Y,L,,53.5,53.5,5.5,21,20,8,good,,"open, by large dung pile",
3,1,187,Sw,N/F,,,,,,,,,,moderate,missing,open,missing
3,1,188,Sw,N/F,,,,47,27,6,21,18,5.5,good,,70cm from 2m spruce,
3,1,189,Sw,N/F,,,,56,56,5,25,25,7,good,,shaded by small balsam,
3,1,190,Sw,Y,Y,L,,46,46.5,4,23,27,6,mod-good,,"overlapped by mature spruce, balsam",
3,1,191,Sw,Y,Y,L,,46.5,45.5,6,20,21,6,mod-good,,,
3,1,192,Sw,N/F,,,,45,45,3,22,16,6,good,,"some necrotic foliage at base, by rotten log, under mature balsam",
3,1,193,Sw,Y,Y,D,,49,49,4,25,17,9,good,,open,new leader
3,1,194,Sw,Y,Y,L,,38,38,5.5,15,16,8,good,,overlapped by 2.5m balsam,"needle cast, new leader"
3,1,195,Sw,N/F,,,,36,36,1.5,20,20,7,mod-good,,relatively open,
3,1,196,Sw,Y,Y,L,,47,47,,23,20,7,good,,directly under mature balsam,
3,2,197,Sw,N/F,,,,51,51,3,22,19,7.5,mod-good,,"open, mold on top of plug slightly chlorotic",
3,2,198,Sw,Y,Y,D,,45,36,3,20,17,7,good,,"15 deg lean, plug well exposed",sweep
3,2,199,Sw,Y,Y,D,,46,29,,25,25,7.5,mod-good,,"some necrotic foliage, 20deg lean, plug exposed, open",
3,2,200,Sw,Y,Y,D,,42,42,2,19,18,10,good,,open,
3,2,201,Sw,Y,Y,L,,38,38,1.5,15,25,7,good,,open,
3,2,202,Sw,N/F,,,,50,44,2.5,22,19,7,mod-good,,"open, 10deg lean",
3,2,203,Sw,Y,Y,L,,41,34,,23,21,7,moderate,,sparse foliage,
3,2,204,Sw,N/F,,,,12,12,7,5,5,7,moderate,,"crushed bylog, 45deg lean, exposed cutplug","needle cast, new leader"
3,2,205,Sw,N/F,,,,46,27,,20,21,7.5,mod-good,,60 cm from half-dead 3m balsam,
3,2,206,Sw,Y,Y,L,,57.5,35,3,21,25,8,good,,"planted deep, necrotic at bottom, mature balsam above",
3,2,207,Sw,Y,Y,L,,55,55,1,15,17,8,good,,open,
3,2,208,Sw,Y,Y,L,,49.5,49.5,2,16,19,9,good,,under balsam,
3,2,209,Sw,N/F,,,,55,44,4.5,19,18,7,good,,open,
3,2,210,Sw,N/F,,,,59,41,1.5,26,31,8,very good,,"1.5m from mature spruce, one dead lateral",
3,2,211,Sw,Y,Y,D,,,,,,,,mod-good,,under balsam canopy,Dead
3,2,212,Sw,Y,Y,D,,57,57,3,29,24,8.5,good,,crooked leader,
3,2,213,Sw,N/F,,,,49,49,,20,20,7,moderate,,"under thick canopy, exposed plug",
3,2,214,Sw,Y,Y,D,,31,31,5,15,13,8,moderate,,"dead leader, 30deg lean",New Leader
3,3,215,Sw,N/F,,,,70,30,7,4,4,6,moderate,,necrotic foliage 1/2 way up stem,"Dead Leader, New Leader"
3,3,216,Sw,Y,Y,D,,,,,,,,good,,"crushed by log, light canopy",Dead
3,3,217,Sw,Y,Y,D,,,,,,,,poor,,live foliage up 1/3 stem only,Dead
3,3,218,Sw,N/F,,,,,,,,,,very poor,,"moribund-very little live foliage, 60deg lean, exposed plug",Dead
3,3,219,Sw,N/F,,,,58,58,3.5,20,20,7,good,,"dead terminal bud, measured lateral taking over as leader",
3,3,220,Sw,N/F,,,,54,39,2,17,17,8,good,,open directly above,"Chlorotic, wet"
3,3,221,Sw,N/F,,,,,,,,,,poor-mod,,"stepped on?, fairly thick canopy",Dead
3,3,222,Sw,N/F,,,,47,47,3,20,20,6,good,,"exposed plug, open",
3,3,223,Sw,Y,Y,D,,,,,,,,mod-good,,"top 1/2 of leader dead, no laterals, buds only, close canopy",Dead
3,3,224,Sw,N/F,,,,20,9,3,6,7,5,poor-mod,,stem bent at 45deg- crushed by fallen tree branches,"slash press, new leader"
3,3,225,Sw,Y,Y,D,,56,28,1.5,26,22,7.5,mod-good,,open,
3,3,226,Sw,N/F,,,,,,,,,,poor,,dead leader and top laterals,Dead
3,4,227,Sw,N/F,,,,52,33,3,27,25,8,mod-good,,dense canopy,
3,4,228,Sw,N/F,,,,,,,,,,mod-good,,overtopped by two small balsam (3-4m),Moribund
3,4,229,Sw,Y,Y,D,,,,,,,,poor,,"dead terminal bud/ top half of leader dead, dense canopy",Dead
3,4,230,Sw,N/F,,,,37,37,3,9,9,6.5,moderate,,"dead terminal bud, lateral is new leader",new leader
3,4,231,Sw,N/F,,,,,,,,,,poor-mod,,,Mortibund
3,4,232,Sw,N/F,,,,,,,,,,good,,"dead term. bud, lateral is leader, open, in midst of light , slash, lateral is leader, open",dead
3,4,233,Sw,N/F,,,,,,,,,,moderate,,"dead term. bud, lateral is leader, open",Dead
3,4,234,Sw,N/F,,,,,,,,,,poor,,"dead term. bud, lateral is leader, by brush pile, foliage, sparse- some dead, open",Dead
3,4,235,Sw,N/F,,,,50,30,4,27,24,7,moderate,,at edge of open area,Partial slash press
4,1,236,Sw,Y,Y,L,,32,16,5,15,10,8,moderate,,in heavy slash,
4,1,237,Sw,Y,Y,L,,48,48,6.5,26,20,7.5,mod-good,,"open- 2m from mature balsam, spruce",
4,1,238,Sw,N/F,,,,39,25,8,20,20,9.5,good,,"in scooped out screef, open",
4,1,239,Sw,Y,Y,D,,42,30,5,20,22,8,good,,,
4,1,240,Sw,Y,Y,L,Outside PSP,47,33,4,25,23,7,good,,large mature balsam over top,
4,1,241,Sw,Y,Y,D,,20,20,9,5,5,8,poor-mod,,bare of foliage in midriff,"needle cast, new leader"
4,1,242,Sw,N/F,,,,44,15,2,12,17,7,mod-good,,open,
4,1,243,Sw,Y,Y,L,,54,42,5.5,25,20,6.5,good,,15cm from log,
4,1,244,Sw,N/F,,,,,,,,,,mod-good,,open,veg press
4,1,245,Sw,Y,Y,D,,46,46,2,15,15,7,good,,in midst of small balsam,
4,1,246,Sw,Y,Y,L,,47,47,6.5,25,25,8,very good,,under mature balsam- within 1m,
4,1,247,Sw,Y,Y,L,PSP Borderline,46,46,4.5,20,20,6,good,,under 2 large balsam- curved stem,
4,1,248,Sw,N/F,,,,,,,,,,good,,open,"log press, hortizontal, new measure"
